,Unnamed: 0,City,Category.of.SKU,Sale,LiteracyRate,Population,AvgCPI,Area(km2)
0,1,Asansol,Wellness,2795247.57021277,83.3,563917,143.6,49.0
1,2,Asansol,Cookware,2487419.35744681,83.3,563917,143.6,49.0
2,3,Asansol,Crockery,2800423.50212766,83.3,563917,143.6,49.0
3,4,Asansol,Electronics,5259208.10212766,83.3,563917,143.6,49.0
4,5,Asansol,Farm Fresh,2749654.63404255,83.3,563917,143.6,49.0
5,6,Asansol,Fashion,37155072.9276596,83.3,563917,143.6,49.0
6,7,Asansol,Food Services,181471.114893617,83.3,563917,143.6,49.0
7,8,Asansol,Shoes,29649.7489361702,83.3,563917,143.6,49.0
8,9,Asansol,Home Essentials,14808.0,83.3,563917,143.6,49.0
9,10,Asansol,Home Fashion,4286111.21702128,83.3,563917,143.6,49.0
10,11,Asansol,Healthcare,29394050.102127697,83.3,563917,143.6,49.0
11,12,Asansol,Trolley Bags,4495174.47659575,83.3,563917,143.6,49.0
12,13,Asansol,Plastics,5192360.4,83.3,563917,143.6,49.0
13,14,Asansol,Processed Food,28621607.8042553,83.3,563917,143.6,49.0
14,15,Asansol,Sports,383632.36595744704,83.3,563917,143.6,49.0
15,16,Asansol,Staples,26036011.8340426,83.3,563917,143.6,49.0
16,17,Asansol,Stationery,9768392.25106383,83.3,563917,143.6,49.0
17,18,Asansol,Toys,2189530.43404255,83.3,563917,143.6,49.0
18,19,Asansol,Utensils,4791059.79148936,83.3,563917,143.6,49.0
19,20,Bhagalpur,Crockery,1234.0,79.26,400146,144.0,342.0
20,21,Bhagalpur,Electronics,1234.0,79.26,400146,144.0,342.0
21,22,Bhagalpur,Fashion,32400422.663829803,79.26,400146,144.0,342.0
22,23,Bhagalpur,Shoes,593050.136170213,79.26,400146,144.0,342.0
23,24,Bhagalpur,Home Essentials,11124.723404255301,79.26,400146,144.0,342.0
24,25,Bhagalpur,Home Fashion,2313605.18723404,79.26,400146,144.0,342.0
25,26,Bhagalpur,Trolley Bags,26477.3617021277,79.26,400146,144.0,342.0
26,27,Bhagalpur,Plastics,2468.0,79.26,400146,144.0,342.0
27,28,Bhagalpur,Processed Food,2472.34042553191,79.26,400146,144.0,342.0
28,29,Bhagalpur,Stationery,183050.506382979,79.26,400146,144.0,342.0
29,30,Bhagalpur,Toys,8638.0,79.26,400146,144.0,342.0
