City,Category.of.SKU,City.Type,Sale,State,LiteracyRate,Population,AvgCPI,Area.km2.,Literacy.Rate....,City.Population..excluding.agglomeration..as.per.2011.Census,Avg..CPI.for.the.Period,Area..km2.,Population.density,Mobile.Landline,Kids.population,Teen.population,Working.population,Oldage.population,Percentage.of.plastic.for.roof,Percentage.of.plastic.for.wall,Banking,Radio,TV,Comp,Number.of.females,Number.of.literates,Per.capita.spending,Percentage.of.population.below.BPL.2011.12.,NSDP.per.capita,Total sales
Asansol,Wellness,Town,2795247.57021277,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Cookware,Town,2487419.35744681,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Crockery,Town,2800423.50212766,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Electronics,Town,5259208.10212766,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Farm Fresh,Town,2749654.63404255,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Fashion,Town,37155072.9276596,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Food Services,Town,181471.114893617,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Shoes,Town,29649.7489361702,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Home Essentials,Town,14808,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
Asansol,Home Fashion,Town,4286111.21702128,West Bengal,83.3,563917,143.6,49,83.3,563917,143.6,49,11508.5102,7.4,136928,166594,230557,29838,0.4,0.2,67.5,13.5,76.3,5,274728,469742,1079.25,22.52,70059,168630885.634043
