City,City Type,State,Avg. CPI for the Period,Population density,Percentage of plastic for roof,Percentage of plastic for wall,Banking,Radio,Comp,Mobile+Landline,Kids population,Oldage population,Per capita spending,NSDP per capita,Wellness,Cookware,Crockery,Electronics,Farm Fresh,Fashion,Food Services,Shoes,Home Essentials,Home Fashion,Healthcare,Trolley Bags,Plastics,Processed Food,Sports,Staples,Stationery,Toys,Utensils,Total sales
Asansol,Town,West Bengal,143.6,11508.5102,0.4,0.2,67.5,13.5,5,7.4,136928,29838,1079.25,70059,2795247.57021277,2487419.35744681,2800423.50212766,5259208.10212766,2749654.63404255,37155072.9276596,181471.114893617,29649.7489361702,14808,4286111.21702128,29394050.1021277,4495174.47659575,5192360.4,28621607.8042553,383632.365957447,26036011.8340426,9768392.25106383,2189530.43404255,4791059.79148936,168630885.634043
Bhagalpur,Town,Bihar,144,1170.017544,1.7,0.5,58,24.1,3.74,3.6,126771,18375,938.01,,0,0,1234,1234,0,32400422.6638298,0,593050.136170213,11124.7234042553,2313605.18723404,0,26477.3617021277,2468,2472.3404255319,0,0,183050.506382979,8638,3702,35547478.9191489
Bhubaneshwar,City,Orissa,144.5,6247.422222,3.6,0.5,72.5,24.7,16,14.3,201502,24721,1419.92,,3510542.27659574,6911649.73191489,10964260.5148936,7074638.99574468,1123880.3787234,199716680.595745,2635829.28510638,7740744.75744681,5655842.72340426,23160038.3191489,96217517.319149,20021579.0340426,21648148.8978723,85817238.8170213,1411944.28085106,65223728.4808511,24066656.7106383,8129330.16595744,14640275.5106383,605670526.795745
Bilaspur,Town,Chhatisgarh,141.6,957.2874494,0.6,0.2,57,25.3,5.3,5.8,95074,18016,933.03,,388633.017021277,1281239.95744681,1500587.62978723,4173297.76595745,247961.689361702,30317269.6382979,233372.012765957,1063127.61276596,1505429.05957447,3176552.02553192,17543805.7191489,2380004.62978723,3724322.27234043,14026340.0212766,325211.242553191,13886973.5617021,2124750.91914894,1417239.29361702,2398757.99574468,101714876.06383
Burdwan,Town,West Bengal,143.6,5326.525424,0.4,0.3,68.2,17,4,7,60662,20488,1079.25,70059,2276430.09787234,2372522.01276596,2916523.54468085,5574540.3106383,2117807.78723404,33393354.1361702,22400.3957446809,175727.455319149,7437.6170212766,3276933.97021276,20441850.1744681,3556570.73617021,3995496.7787234,19588367.9148936,302110.306382979,14166456.2893617,19706998.5319149,2066979.33617021,3797518.54042553,139756025.93617
Cuttack,Town,Orissa,144.5,1533.138191,0.8,0.4,73.1,31.4,8.7,11.7,133798,32443,789.26,,480547.70212766,2034576.32340426,2798322.64255319,5517266.10638298,303929.161702128,36881707.6425532,810208.719148936,1197917.49787234,1526326.02553192,5304414.33617021,26176664.5106383,4784038.32340425,5227638.55744681,23752021.706383,387858.008510638,19244155.1021277,1981541.03829787,2281462.20851064,4086802.75319149,144777398.365957
Darjeeling,Town,West Bengal,143.6,11239.82971,1,0.9,70.4,22.2,6,9.2,22232,6086,1079.25,70059,153868.591489362,1001375.89361702,1542496.23829787,2216824.35319149,0,17896912.093617,207511.063829787,235734.868085106,8132.5531914894,2170208.8,9080292.34042553,1527941.80425532,3494301.64255319,8563359.72340426,347130.536170213,9563348.48510638,1722592.38723404,2050861.14468085,2108162.01276596,63891054.5319149
Deoghar,Town,Jharkhand,142.2,602.7388724,0.6,0.1,73.5,11.6,3.4,2.5,62451,9623,938.01,,179855.25106383,1811486.73617021,1702889.46808511,3685102.0893617,333188.178723404,24417492.3106383,15532.3021276596,883200.068085107,193751.995744681,3342223.93191489,19294323.4085106,3165223.45957447,3762673.70638298,17298241.2340426,278088.94893617,14620962.3702128,2668953.38297872,1546082.53617021,2885614.41702128,102084885.795745
Dhanbad,Town,Jharkhand,142.2,566.5068226,0.3,0.1,73.6,9.7,3.5,3,350678,38892,938.01,,331290.072340426,2483055.58723404,3197925.11914894,8648718.74042553,102878.978723404,34640695.0510638,1373608.2893617,207609.225531915,32518.5319148936,6152379.99148936,24678017.6468085,6245068.72340426,5210714.43829787,23604789.5148936,573305.30212766,17606666.3744681,2886914.08510638,2523043.61702128,3942927.36170213,144442126.651064
Durgapur,City,West Bengal,143.6,3678.681818,0.2,0.1,57.8,21.7,2.8,4.8,126774,32834,2203.12,70059,3115627.47234043,2768200.43404255,3946609.08510638,10117506.2893617,3740236.85106383,64111074.6425532,866470.893617021,1624682.80425532,1808442.35744681,6847381.6893617,38556173.6765957,6249985.55744681,6623535.66808511,33842807.2978723,719003.863829787,31169506.2170213,16526110.5914894,2886990.18297872,5712874.40851064,241233219.982979
Gangtok,City,Sikkim,141.2,2865.314286,0.5,0.4,80,25.7,10,8.8,23131,3168,,176491,38671.0255319149,1496875.09361702,1654521.39148936,3351476.32765957,176237.34893617,26225308.0085106,414048.012765957,1047641.28510638,14730.1276595745,3713951.46382979,11576219.2425532,1726479.42553191,4618887.21702128,12424446.1276596,361768.655319149,14366667.7489362,1690020.13617021,1867244.51914894,2843098.52340425,89608291.680851
Guwahati,City,Assam,142.6,4452.8,0.2,0.3,69.9,31.3,2,0.9,212807,40940,2058.18,,3304291.48510638,7807870.98723404,13446955.3659574,59370.829787234,3162177.86382979,208940461.502128,7424836.39148936,7367212.74468085,4499185.45957447,20318968.3276596,75925665.5446809,14246331.6893617,23248876.6127659,64643191.106383,1450439.7106383,59868878.8765958,10372216.4425532,8145155.56595745,15813558.9829787,550045645.489362
Jamshedpur,Town,Jharkhand,142.2,3020.880383,0.9,0.4,81.5,28.8,11.2,13.4,168259,33879,938.01,,725622.587234042,2188493.70212766,2711108.3787234,5338463.45531915,211730.582978723,29375996.6595745,1915957.36595745,1096925.62978723,309615.987234043,5621901.88510638,22717806.9829787,5335605.66382979,4847736.32765958,19273826.2510638,495011.863829787,17547023.0085106,2794643.18723404,1834935.79574468,3423525.66808511,127765930.982979
Jorhat,Town,Assam,142.6,121255,0.1,0.5,78.4,21.8,7,6.2,29096,6577,983.53,,558708.680851064,1797355.61702128,2865396.24255319,3337847.45957447,704030.672340425,47338342.4170212,62367.6936170213,823392.297872341,14990.170212766,4920629.85531915,17875257.8553192,3660631.39574468,6474161.05106383,19103691.987234,434661.591489362,15115969.4851064,1728662.54468085,2518931.3787234,4142514.42978724,133477542.825532
Kharagpur,Town,West Bengal,143.6,1634.677165,1.1,0.8,72.5,14.9,2.8,4,43719,13978,1079.25,70059,1486728.7787234,2509206.95744681,2233472.18723404,6991580.08510638,1523359.75744681,43997460.0851064,6155794.83829787,1243483.3787234,1362975.44255319,3587086.01702128,21848335.8765957,4281189.13191489,4223666.60425532,23901341.787234,327020.357446808,18524616.8,29745709.3914894,1901587.17446808,3862787.6,179707402.251064
