,Unnamed: 0,City,Category.of.SKU,Sale,LiteracyRate,Population,AvgCPI,Area(km2)
31,32,Bhubaneshwar,Wellness,3510542.27659574,91.87,843402,144.5,135.0
32,33,Bhubaneshwar,Cookware,6911649.73191489,91.87,843402,144.5,135.0
33,34,Bhubaneshwar,Crockery,10964260.514893599,91.87,843402,144.5,135.0
34,35,Bhubaneshwar,Electronics,7074638.99574468,91.87,843402,144.5,135.0
35,36,Bhubaneshwar,Farm Fresh,1123880.3787234,91.87,843402,144.5,135.0
36,37,Bhubaneshwar,Fashion,199716680.595745,91.87,843402,144.5,135.0
37,38,Bhubaneshwar,Food Services,2635829.28510638,91.87,843402,144.5,135.0
38,39,Bhubaneshwar,Shoes,7740744.75744681,91.87,843402,144.5,135.0
39,40,Bhubaneshwar,Home Essentials,5655842.72340426,91.87,843402,144.5,135.0
40,41,Bhubaneshwar,Home Fashion,23160038.319148898,91.87,843402,144.5,135.0
41,42,Bhubaneshwar,Healthcare,96217517.319149,91.87,843402,144.5,135.0
42,43,Bhubaneshwar,Trolley Bags,20021579.034042604,91.87,843402,144.5,135.0
43,44,Bhubaneshwar,Plastics,21648148.897872303,91.87,843402,144.5,135.0
44,45,Bhubaneshwar,Processed Food,85817238.8170213,91.87,843402,144.5,135.0
45,46,Bhubaneshwar,Sports,1411944.28085106,91.87,843402,144.5,135.0
46,47,Bhubaneshwar,Staples,65223728.4808511,91.87,843402,144.5,135.0
47,48,Bhubaneshwar,Stationery,24066656.7106383,91.87,843402,144.5,135.0
48,49,Bhubaneshwar,Toys,8129330.16595744,91.87,843402,144.5,135.0
49,50,Bhubaneshwar,Utensils,14640275.5106383,91.87,843402,144.5,135.0
163,164,Durgapur,Wellness,3115627.47234043,86.02,566517,143.6,154.0
164,165,Durgapur,Cookware,2768200.43404255,86.02,566517,143.6,154.0
165,166,Durgapur,Crockery,3946609.08510638,86.02,566517,143.6,154.0
166,167,Durgapur,Electronics,10117506.289361699,86.02,566517,143.6,154.0
167,168,Durgapur,Farm Fresh,3740236.85106383,86.02,566517,143.6,154.0
168,169,Durgapur,Fashion,64111074.642553195,86.02,566517,143.6,154.0
169,170,Durgapur,Food Services,866470.8936170209,86.02,566517,143.6,154.0
170,171,Durgapur,Shoes,1624682.80425532,86.02,566517,143.6,154.0
171,172,Durgapur,Home Essentials,1808442.35744681,86.02,566517,143.6,154.0
172,173,Durgapur,Home Fashion,6847381.689361701,86.02,566517,143.6,154.0
173,174,Durgapur,Healthcare,38556173.6765957,86.02,566517,143.6,154.0
