Asansol,Town,83.3,563917,143.6,49,168630885.634043,299.03493889
Bhagalpur,Town,79.26,400146,144,342,35547478.9191489,88.8362720586
Bhubaneshwar,City,91.87,843402,144.5,135,605670526.795745,718.127923334
Bilaspur,Town,88.13,331030,141.6,345.8,101714876.06383,307.2678490283
Burdwan,Town,88.31,314265,143.6,59,139756025.93617,444.7075746143
Cuttack,Town,91,610189,144.5,398,144777398.365957,237.2664836075
Darjeeling,Town,93.85,118805,143.6,10.57,63891054.5319149,537.7808554515
Deoghar,Town,85.68,203123,142.2,337,102084885.795745,502.5766939034
Dhanbad,Town,79.47,1162472,142.2,2052,144442126.651064,124.2542845342
Durgapur,City,86.02,566517,143.6,154,241233219.982979,425.8181484103
Gangtok,City,89.33,100286,141.2,35,89608291.680851,893.5274283634
Guwahati,City,91.47,957352,142.6,215,550045645.489362,574.5490117421
Jamshedpur,Town,86.91,631364,142.2,209,127765930.982979,202.3649289205
Jorhat,Town,83.42,1091295,142.6,9,133477542.825532,122.3111466886
Kharagpur,Town,85.76,207604,143.6,127,179707402.251064,865.6259140049
Kolkata,City,86.31,4496694,143.6,185,5730797279.75128,1274.4468001939
Nagpur,City,91.92,2405665,138.5,217.6,1490285138.17,619.4898866509
Patna,City,83.37,1684222,144,297.9,1379989939.74,819.3634448072
Raipur,City,85.95,1010433,141.6,226,376383760.87,372.4974945098
Ranchi,City,87.37,1073427,142.2,175,723033368.36,673.5747921004
Sambalpur,Town,85.53,184000,144.5,670,304827535.85,1656.6713904891
Silchar,Town,90.93,172830,142.6,343,149078722.29,862.5743348377
Siliguri,City,85.91,513264,143.6,260,605751181.52,1180.194172044
